to ל
lioness לבאה
lion לביא
Lebanah לבנה
flame להבת
not לא
Lebaoth לבאות
lion לביא
Lebanon לבנון
devotion להג
Lo Debar לא דבר
heart לבב
white לבן
Libnite לבני
Lahad להד
Lo-Ammi לא עמי
bake לבב
Laban לבן
Libni לבני
be crazy להה
Lo-Ruhamah לא רחמה
stir לבב
Laban לבן
clothe לבשׁ
flame להט
Leah לאה
cookie? לבבה
make brick לבן
log לג
devour להט
be weary לאה
<uncertain> לבה
be white לבן
Lod לד
enchantments להטים
Lael לאל
rage לבה
brick לבנה
Debir לדבר
swallow להם
people לאם
Lebonah לבונה
incense לבנה
birth לדה
therefore להן
Leummites לאמים
clothing לבושׁ
storax tree לבנה
flame להב
seniors להקה
heart לב
clad לבושׁ
full moon לבנה
flame להבה
if only לו
lion לבא
trample לבט
Libnah לבנה
Lehabites להבים
Libyan לובי
Lud לוד
Lotan לוטן
crookedness לזות
-lehemite לחמי
wreath ליה
Ludites לודים
Levite לוי
sap לח
Lahmi לחמי
night ליל
borrow לוה
Levi לוי
fresh לח
Lahmas לחמס
night לילה
accompany לוה
wreath לויה
<uncertain> לחום
oppression לחץ
night-demon לילית
almond tree לוז
leviathan לויתן
Beer Lahai Roi לחי ראי
press לחץ
lodge לין
Luz לוז
<uncertain> לול
jaw לחי
whispering לחשׁ
boast ליץ
turn aside לוז
unless לולא
Lehi לחי
whisper לחשׁ
lion לישׁ
tablet לוח
murmur לון
eat לחך
secrecy לט
<locality> לישׁ
Luhith לוחית
knead לושׁ
bread לחם
mastic tree לט
Laish לישׁ
Hallohesh לוחשׁ
this there לז
<uncertain> לחם
gecko לטאה
Laishah לישׁה
Lot לוט
this there לזה
feed לחם
Letushites לטושׁים
capture לכד
enwrap לוט
this there לזו
fight לחם
sharpen לטשׁ
seize לכד
Lecah לכה
throat לע
torch לפיד
late sowing לקשׁ
Lachish לכישׁ
delight לעב
Lappidoth לפידות
despoil לקשׁ
therefore לכן
derision לעג
grasp לפת
dainty לשׁד
loops ללאת
stammering לעג
scorner לץ
tongue לשׁון
disciple למד
mock לעג
boasting לצון
hall לשׁכה
learn למד
Laadah לעדה
Lakkum לקום
<gem> לשׁם
why למה
Ladan לעדן
teaching לקח
Leshem לשׁם
