seah סאה
thicket סבך
Sabteca סבתכא
prison סהר
anoint סוך
boot סאון
thicket סבך
prostrate סגד
enclosure סהר
horse סוס
tramp סאן
be interwoven סבך
hammered gold סגור
So סוא
mare סוסה
cry סאסא
Sibbecai סבכי
enclosure סגור
fence סוג
Susi סוסי
drink סבא
bearer סבל
property סגלה
turn סוג
rush סוף
weed סבא
load סבל
prefect סגן
cage סוגר
end סוף
Seba סבא
load סבל
close סגר
confidential talk סוד
Suph סוף
drink סבא
bear סבל
heavy rain סגריר
Sodi סודי
end סוף
Sabeans סבאים
loads סבלות
stock סד
Suah סוח
storm סופה
turn סבב
ear of grain סבלת
wrapper סדין
offal סוחה
Suphah סופה
turn סבה
Sibraim סברים
Sodom סדם
Sotai סוטי
backsliding סור
surrounding סביב
Sabta סבתא
order סדר
incite סוך
Sur סור
turn aside סור
<uncertain> סחרה
Sisera סיסרא
weave סכך
basket סל
garment סות
pavement סחרת
Sia סיעא
block סכך
Silla סלא
incite סות
<uncertain> סטים
pot סיר
Secacah סככה
Seled סלד
drag סחב
lead oxide סיג
hook סירה
foolish סכל
jump סלד
rags סחבות
Siwan סיון
cover סך
folly סכל
sela סלה
scrap סחה
Sihon סיחון
<uncertain> סך
be foolish סכל
pay סלה
refuse סחי
Sin סין
cover of foliage סכה
folly סכלות
reject סלה
shoot סחישׁ
Sin סין
Succoth Benoth סכות בנות
be poor? סכן
Salu סלוא
wash away סחף
Sinite סיני
Succoth סכות
serve סכן
Sallu סלוא
gain סחר
Sinai סיני
Sakkuth סכות
hire סכר
prickle סלון
go about סחר
Aswan סינים
Sukkite סכי
stop סכר
forgiving סלח
bulwark סחרה
swift-bird סיס
barricade סכך
be silent סכת
forgive סלח
Sallai סלי
ascend סלק
Senaah סנאה
support סעד
threshold סף
forgiveness סליחה
wheat groat סלת
Sanballat סנבלט
calumniate סעה
Saph סף
Salecah סלכה
perfume סם
blackberry bush סנה
cleft סעיף
lament ספד
build סלל
Samgar-Nebo סמגר נבו
Seneh סנה
bough סעיף
sweep away ספה
rampart סללה
perule סמדר
Hassenuah סנואה
despicable סעף
attach ספח
stair סלם
support סמך
blindness סנורים
cut off סעף
scab ספחת
shoot סלסלה
Semakiah סמכיהו
Sennacherib סנחריב
bough סעפה
Sippai ספי
rock סלע
image סמל
date-fruit סנסנה
crutches סעפים
growth ספיח
Sela סלע
apply paste סמם
Sansannah סנסנה
storm סער
outpouring ספיח
locust סלעם
<uncertain> סמן
fin סנפיר
be stormy סער
vessel ספינה
crookedness סלף
bristly סמר
moth סס
storm סערה
lapis lazuli ספיר
distort סלף
bristle סמר
Sismai ססמי
basin סף
bowl ספל
ceiling ספן
Sepharvaim ספרוים
overhanging סרוח
winter סתו
cover ספן
<uncertain> ספרות
overhanging סרח
Sethur סתור
stand at threshold ספף
function of scribe ספרת
be corrupt סרח
stop up סתם
clap hands ספק
stone סקל
overhang סרח
hiding place סתר
letter ספר
sullen סר
scaly coat סריון
hide סתר
scribe ספר
obstinate סרב
official סריס
hiding place סתרה
census ספר
Sargon סרגון
axletree סרן
Sithri סתרי
Sephar ספר
Sered סרד
lords סרנים
count ספר
Seredite סרדי
bough סרעפה
Sepharad ספרד
rebellion סרה
burn סרף
scroll ספרה
ceasing סרה
nettle סרפד
Sepharvite ספרוי
Sirah סרה
rebel סרר 
