vomit קא
cup קבעת
holy קדושׁ
eastern קדמני
Kedesh קדשׁ
owl? קאת
collect קבץ
be kindled קדח
easterner קדמני
be holy קדשׁ
kab קב
Kabzeel קבצאל
inflammation קדחת
scalp קדקד
be dull קהה
curse קבב
gathering קבצה
east קדים
Kedar קדר
assembly קהל
rennet-bag קבה
Kibzaim קבצים
front קדם
be dark קדר
assemble קהל
women's room קבה
grave קבר
be in front קדם
Kidron קדרון
assembly קהלה
<uncertain> קבוץ
bury קבר
front קדמה
darkness קדרות
speaker קהלת
grave קבורה
Kibroth Hattaavah קברות התאוה
beginning קדמה
mourningly קדרנית
Kehelathah קהלתה
battering-ram קבל
<uncertain> קד
Kedemah קדמה
Kadesh Barnea קדשׁ ברנע
Kohath קהת
<uncertain> קבל
kneel down קדד
eastern קדמון
holiness קדשׁ
Kohathite קהתי
take קבל
cassia-bud קדה
Kedemoth קדמות
temple prostitute קדשׁ
line קו
deceive קבע
<uncertain> קדומים
Kadmiel קדמיאל
Kadesh קדשׁ
<uncertain> קו
<uncertain> קו
Koa קוע
lay bait קושׁ
Hakkatan קטן
smoke קיטור
Kue קוא
ape קוף
Kushaiah קושׁיהו
be small קטן
adversary קים
helmet קובע
thorn-bush קוץ
willow קח
pluck off קטף
rising up קימה
collect קוה
snuff קוץ
<uncertain> קט
<uncertain> קטר
spear קין
wait for קוה
Koz קוץ
sting קטב
smoke קטר
Kain קין
loath קוט
be asunder קוץ
smoke sacrifice קטורה
Kitron קטרון
Kain קין
<uncertain> קוי
loath קוץ
Keturah קטורה
<uncertain> קטרות
Kain קין
sound קול
hairlocks קוצות
slaughter קטל
smoke of sacrifice קטרת
chant elegy קין
Kolaiah קוליה
thread קור
kill קטל
Kattath קטת
elegy קינה
arise קום
dig קור
small קטן
vomit קיא
Kinah קינה
height קומה
Kore קורא
small קטן
vomit קיא
Kenite קיני
uprightness קוממיות
beam קורה
the little one קטן
vomit קיה
Kenan קינן
summer קיץ
Kishon קישׁון
Kelita קליטא
starvation-bread קלקל
nest קן
pass summer קיץ
Kishi קישׁי
burnished קלל
trident קלשׁון
jealous קנא
outermost קיצון
light קל
be slight קלל
standing grain קמה
be jealous קנא
qiqayon קיקיון
lightness קל
curse קללה
Kemuel קמואל
jealousy קנאה
disgrace קיקלון
contempt קלה
derision קלס
Kamon קמון
reed קנה
Kir Hareseth קיר חרשׂ
roast קלה
disdain קלס
weed קמושׂ
Kanah קנה
Kir Hareseth קיר חרשׂת
dishonour קלון
derision קלסה
flour קמח
create קנה
Kir in Moab קיר מואב
cauldron קלחת
curtain קלע
seize קמט
buy קנה
wall קיר
stunt קלט
slinger קלע
be lousy קמל
jealous קנוא
Kir קיר
parched grain קלי
sling קלע
handful קמץ
Kenaz קנז
Keros קירס
Kallai קלי
carve קלע
take handful קמץ
Kenizzite קנזי
Kish קישׁ
Kelaiah קליה
sling forth קלע
weed קמשׂון
property קנין
cinnamon קנמון
frost קפאון
cut off קצה
cut off קצע
cool קר
make nest קנן
hedgehog קפד
end קצו
anger קצף
partridge קרא
<uncertain> קנץ
roll up קפד
shorter קצור
bough קצף
encounter קרא
Kenath קנת
anguish קפדה
end קצות
be angry קצף
call קרא
divination קסם
<animal> קפוז
black cumin קצח
stump קצפה
interior קרב
practice divination קסם
draw together קפץ
chief קצין
cut קצץ
approaching קרב
be scaly קסס
end קץ
cassia קציעה
shortness קצר
fight קרב
writing-case קסת
cut קצב
Keziah קציעה
short קצר
approach קרב
Keilah קעילה
cut off קצב
Emek Keziz קציץ
harvest קצר
approach קרבה
tattoo קעקע
end קצה
harvest קציר
be short קצר
offering קרבן
platter קערה
end קצה
bough קציר
end קצת
supply קרבן
condense קפא
end קצה
scrape off קצע
cold קר
axe קרדם
cold קרה
opposition קרי
Kiriathaim קריתים
twinkle קרץ
attentiveness קשׁב
pollution קרה
summoned קריא
spread קרם
floor קרקע
attentive קשׁב
meet קרה
proclamation קריאה
Keren-Happuch קרן הפוך
Karka קרקע
attentive קשׁב
near קרוב
town קריה
horn קרן
<uncertain> קרקר
give attention קשׁב
frost קרח
Kerioth קריות
shine קרן
Karkor קרקר
hard קשׁה
bald קרח
Kiriath Arba קרית ארבע
Karnaim קרנים
be cool קרר
be hard קשׁה
Korah קרח
Kiriath Baal קרית בעל
hook קרס
board קרשׁ
be hard קשׁח
Kareah קרח
Kiriath Huzoth קרית חצות
bend down קרס
town קרת
bow קשׁט
make bald קרח
Kiriath Jearim קרית יערים
ankle קרסל
Kartah קרתה
truth קשׁט
baldness קרחה
Kiriath Sannah קרית סנה
tear קרע
Kartan קרתן
stubbornness קשׁי
Korahite קרחי
Kiriath Sepher קרית ספר
rags קרעים
stubble קשׁ
Kishion קשׁיון
bald spot קרחת
Kiriath קרית
mosquito קרץ
cucumber קשׁאה
conspiracy קשׁר
tie קשׁר
bands קשׁרים
collect קשׁשׁ
bow קשׁת
bowman קשׁת
jar קשׂוה
qesitha קשׂיטה
scale קשׂקשׂת 
