chamber תא
mourning תאניה
Tabor תבור
Tiglath-Pileser תגלת פלאסר
twins תואמם
<uncertain> תאב
<uncertain> תאנים
world תבל
irritation תגרה
Tubal-Cain תובל קין
long for תאב
Taanath Shiloh תאנת שׁלה
abomination תבל
box tree תדהר
grief תוגה
longing תאבה
form תאר
Tubal תבל
Tadmor תדמר
Togarmah תוגרמה
draw תאה
turn תאר
destruction תבלית
Tidal תדעל
thanksgiving תודה
wild sheep תאו
Tarea תארע
spot תבלל
emptiness תהו
mark תוה
desire תאוה
cypress תאשׁור
straw תבן
primeval ocean תהום
hurt תוה
curse תאלה
ark תבה
Tibni תבני
praise תהלה
Toah תוח
bear twins תאם
chest תבה
model תבנית
error תהלה
hope תוחלת
fig תאנה
yield תבואה
Taberah תבערה
procession תהלכת
midst תוך
occasion תאנה
understanding תבונה
Thebez תבץ
perversity תהפכות
rebuke תוכחה
rutting תאנה
trampling תבוסה
<uncertain> תבר
mark תו
rebuke תוכחת
Tolad תולד
handshakes תוקעים
Tahkemonite תחכמני
cuirass תחרא
Tema תימא
generations תולדות
dove תור
diseases תחלאים
Tahrea תחרע
south תימן
<uncertain> תולל
turn תור
beginning תחלה
tachash-skin תחשׁ
Teman תימן
scarlet worm תולע
spy תור
owl תחמס
Tahash תחשׁ
Temanite תימני
Tola תולע
instruction תורה
Tahan תחן
under part תחת
Temenite תימני
maggot תולעה
sojourner תושׁב
supplication תחנה
Tahath תחת
column תימרה
Tolaite תולעי
effect תושׁיה
Tehinnah תחנה
Tahath תחת
Tizite תיצי
worm תולעת
club תותח
supplication תחנון
lower תחתון
wine תירושׁ
abomination תועבה
strike תזז
Tahanite תחני
lower תחתי
Tiria תיריא
confusion תועה
fornication תזנות
<uncertain> תחנתי
Tahtim Hodshi תחתים חדשׁי
Tiras תירס
horns תועפות
steering תחבלות
Tahpanhes תחפנחס
middle תיכון
he-goat תישׁ
outlets תוצאות
Tohu תחו
Tahpenes תחפניס
Tilon תילון
oppression תך
<uncertain> תכה
Tel Harsha תל חרשׁא
quiver belt תלי
be astounded תמה
be complete תמם
fixed place תכונה
Tel Melah תל מלח
mock תלל
bewilderment תמהון
Timnah תמנה
poultry תכיים
mound תל
furrow תלם
Tammuz תמוז
Timnite תמני
perfection תכלה
hang תלא
Talmai תלמי
yesterday תמול
Timna תמנע
completeness תכלית
fevers תלאבות
scholar תלמיד
form תמונה
Timnath Heres תמנת חרס
purple wool תכלת
weariness תלאה
murmuring תלנות
exchange תמורה
Timnath Serah תמנת סרח
quantity תכן
Telassar תלאשׂר
wrap in scarlet תלע
death תמותה
melting תמס
Token תכן
clothing תלבשׁת
stone courses תלפיות
Temah תמח
date-palm תמר
estimate תכן
Tiglath-Pileser תלגת פלנאסר
date-panicle תלתל
continuity תמיד
date-palm תמר
example תכנית
hang תלה
complete תם
complete תמים
scare-crow תמר
robe תכריך
lofty תלול
completeness תם
tummim תמים
Tamar תמר
Tel Abib תל אביב
Telah תלח
integrity תמה
grasp תמך
Tamar תמר
palm-ornament תמרה
consolation תנחומות
channel תעלה
mockery תעתעים
prayer תפלה
massage תמרוק
consolation תנחומים
healing תעלה
tambourine תף
unseemliness תפלה
bitterness תמרורים
Tanhumeth תנחמת
ill-treatment תעלולים
splendour תפארה
horror תפלצת
sign-post תמרורים
sea-monster תנים
<uncertain> תעלם
splendour תפארת
Tiphsah תפסח
jackal תן
sea-monster תנין
secret תעלמה
apple-tree תפוח
beat תפף
recount תנה
owl תנשׁמת
comfort תענוג
Tappuah תפוח
sew תפר
opposition תנואה
chameleon תנשׁמת
humiliation תענית
Tappuah תפח
seize תפשׂ
produce תנובה
be abhorrent תעב
Taanach תענך
<uncertain> תפינים
spitting תפת
earlobe תנוך
err תעה
mock תעע
whitewash תפל
Topheth תפת
slumber תנומה
Tou תעו
might תעצמות
something tasteless תפל
<uncertain> תפתה
offering תנופה
attestation תעודה
knife תער
Tophel תפל
Tokhath תקהת
furnace תנור
darkness תעופה
hostages תערובות
be silly תפל
hope תקוה
cord תקוה
overpower תקף
Terah תרח
precious stone תרשׁישׁ
gift תשׁורה
Tikvah תקוה
Taralah תראלה
Terah תרח
Tarshish תרשׁישׁ
ninth תשׁיעי
power to stand תקומה
increase תרבות
Tirhanah תרחנה
Tarshish תרשׁישׁ
nine תשׁע
<uncertain> תקוע
interest תרבית
Tormah תרמה
governor תרשׁתא
deposit תשׂומת
Tekoa תקוע
interpret תרגם
deceitfulness תרמית
commander תרתן
Tekoite תקועי
sleep תרדמה
mast תרן
Tartak תרתק
turning point תקופה
Tirhakah תרהקה
reeling תרעלה
shouting תשׁאה
mighty תקיף
contribution תרומה
Tirathite תרעתי
Tishbite תשׁבי
be straight תקן
contribution תרומיה
teraphim תרפים
chequered work תשׁבץ
blast תקע
shouting תרועה
Tirzah תרצה
return תשׁובה
blow תקע
healing תרופה
Tirzah תרצה
salvation תשׁועה
power תקף
tree תרזה
Teresh תרשׁ
impulse תשׁוקה 
