dirt צא
serve צבא
Zibiah צביה
Zadok צדוק
cry צהל
excrement צאה
she-gazelle צבאה
stuff צבע
malicious intent צדיה
roof צהר
vomit צאה
Zeboiim צבאים
Zibeon צבעון
Ziddim צדים
press out צהר
filthy צאי
swollen צבה
Zeboim צבעים
just צדיק
noon צהרים
lotus צאלים
<uncertain> צבה
heap צבר
justice צדק
<untranslatable> צו
cattle צאן
swell צבה
heap צבר
be just צדק
neck צואר
Zaanan צאנן
hyena צבוע
bundle צבת
justice צדקה
Zobah צובא
offspring צאצאים
hold out צבט
side צד
Zedekiah צדקיה
hunt צוד
lizard צב
beauty צבי
snare צד
Zedekiah צדקיהו
command צוה
wagon צב
gazelle צבי
Zedad צדד
gleaming צהב
cry צוח
service צבא
Zibia צביא
waste צדה
gleam צהב
cry צוחה
gazelle צבא
she-gazelle צביה
be after צדה
shine צהל
deep צולה
fasting צום
distress צוקה
clear צח
demon צי
signpost ציון
fast צום
rock צור
parched צחה
ship צי
Zion ציון
Zuar צוער
pebble צור
be white צחה
Ziba ציבא
Ziha ציחא
honey-comb צוף
Zur צור
surface צחיח
hunting ציד
collar צינק
Zuph צוף
shape צור
naked land צחיחה
provision ציד
Zior ציער
flow צוף
damage צור
smell of putrefaction צחנה
hunter ציד
blossom ציץ
Zophah צופח
bind צור
scorched land צחצחה
feed ציד
Ziz ציץ
Zophai צופי
fashion צורה
laughter צחק
provision צידה
flower ציצה
glance צוץ
Zuriel צוריאל
laugh צחק
Sidon צידון
tuft ציצת
blossom צוץ
Zurishaddai צורישׁדי
yellowish red צחר
Sidonian צידני
<uncertain> ציר
oppression צוק
necklace צורנים
Zohar צחר
dry country ציה
pivot ציר
oppress צוק
kindle צות
Zahar צחר
waterless country ציון
messenger ציר
convulsion ציר
sink צלל
Zelophehad צלפחד
span צמד
<mountain> צמרים
<uncertain> ציר
image צלם
Zelzah צלצח
attach צמד
tree-top צמרת
shadow צל
Zalmon צלמון
cricket צלצל
veil צמה
be silent צמת
Zillah צלה
Zalmon צלמון
harpoon צלצל
cakes צמוקים
forfeiture צמתת
roast צלה
darkness צלמות
cymbals צלצלים
sprout צמח
<uncertain> צן
be strong צלח
Zalmonah צלמנה
Zelek צלק
sprout צמח
Zin צן
pan צלחית
Zalmunna צלמנע
Zillethai צלתי
bracelet צמיד
<uncertain> צנא
pan צלחת
side צלע
thirsty צמא
cover צמיד
shield צנה
roast צלי
stumbling צלע
thirst צמא
<uncertain> צמים
small cattle צנה
<uncertain> צליל
Zela צלע
be thirsty צמא
shrivel צמק
cold צנה
grow dark צלל
limp צלע
thirst צמאה
wool צמר
humble צנוע
tingle צלל
Zalaph צלף
thirsty ground צמאון
Zemarite צמרי
water-tunnel צנור
clap one's hand צנח
march צעד
cry צעקה
Zephonite צפוני
<uncertain> צפירה
pricks צנינים
marching צעדה
Zoar צער
northern צפוני
seat order צפית
turban צניף
put in chains צעה
be small צער
bird צפור
hide צפן
turban צניפה
shawl צעיף
shrivel צפד
Zippor צפור
Zephaniah צפניה
barren צנם
little צעיר
<uncertain> צפה
jar צפחת
Zephaniah צפניהו
Zenan צנן
Zair צעיר
arrange צפה
Zephi צפי
Zaphenath-Paneah צפנת פענח
be cautious צנע
youth צעירה
look out צפה
outlook צפיה
serpent צפע
wrap צנף
Zoan צען
Zepho צפו
Zephon צפיון
viper צפעני
winding צנפה
pack up צען
plating צפוי
flat cake צפיחת
whisper צפף
receptacle צנצנת
Zaanannim צעננים
north צפון
dung צפיע
willow צפצפה
pipes צנתרות
cast images צעצעים
Zaphon צפון
leaf צפיעה
Zophar צפר
marching צעד
cry צעק
Zephon צפון
he-goat צפיר
<uncertain> צפר
frog צפרדע
Tyrus צר
Zeror צרור
Zorathite צרעתי
Zipporah צפרה
Zer צר
cry צרח
melt צרף
nail צפרן
burning צרב
mastic צרי
guild of goldsmiths צרפי
capital of pillar צפת
burn צרב
Tyrian צרי
Zarephath צרפת
Zephath צפת
scar צרבת
Zeri צרי
be hostile צרר
Zephathah צפתה
Zeredah צרדה
cellar צריח
wrap, be narrow צרר
Ziklag צקלג
distress צרה
need צרך
Zererah צררה
<uncertain> צקלון
rival wife צרה
have skin-disease צרע
Zereth Shahar צרת השׁחר
narrow צר
Zeruiah צרויה
depression צרעה
Zereth צרת
adversary צר
Zeruah צרועה
Zorah צרעה
Zarethan צרתן
pebble צר
bag צרור
Zorite צרעי
<uncertain> צר
pebble צרור
skin-disease צרעת 
