wolf זאב
Zebidah זבודה
insolent זד
this זו
turn aside זור
Zeeb זאב
Zebulun זבולן
insolence זדון
flux זוב
Zaza זזא
this זאת
Zebulunite זבולני
this זה
flow זוב
displace זחח
endowment זבד
sacrifice זבח
this זה
Zuzim זוזים
glide away זחל
Zabad זבד
Zebah זבח
gold זהב
Zoheth זוחת
Zoheleth זחלת
bestow זבד
slaughter זבח
Zaham זהם
corner זוית
be presumptuous זיד
Zabdi זבדי
Zabbai זבי
loath זהם
lavish זול
running זידון
Zabdiel זבדיאל
Zebina זבינא
shining זהר
except זולה
swarm זיז
Zebadiah זבדיה
dominion זבל
shine זהר
tremble זוע
udder זיז
Zebadiah זבדיהו
Zebul זבל
warn זהר
trembling זועה
Ziza זיזא
fly זבוב
tolerate זבל
<relative> זו
be loathsome זור
Ziza זיזה
Zabud זבוד
skin of grape זג
Siw זו
press זור
Zina זינא
Zia זיע
remembering זכור
sprigs זלזלים
plan זמם
kind זן
Ziph זיף
Zaccur זכור
be lavish זלל
ponder זמם
tail זנב
Ziph זיף
Zaccai זכי
irritation זלעפה
season זמן
cut off זנב
Ziphah זיפה
be clean זכך
Zilpah זלפה
appoint זמן
feel repugnance זנה
Ziphite זיפי
mention זכר
vileness זלת
gazelle זמר
fornicate זנה
fire-arrow זיקה
male זכר
loose conduct זמה
prune זמר
Zanoah זנוח
olive זית
Zeker זכר
Zimmah זמה
sing זמר
Zanoah זנוח
Zethan זיתן
remember זכר
shoot זמורה
melody זמרה
fornication זנונים
pure זך
remembrance זכרון
Zamzummites זמזמים
strength זמרה
fornication זנות
be clean זכה
Zicri זכרי
song זמיר
Zimri זמרי
stink זנח
transparent זכוכית
Zechariah זכריה
pruning זמיר
Zimri זמרי
reject זנח
male זכור
Zechariah זכריהו
Zemirah זמירה
Zimran זמרן
leap זנק
sweat זעה
Ziphron זפרון
strange זר
flashing up זרח
be white זרק
terror זעוה
pitch זפת
border זר
Zerah זרח
toss זרק
Zaavan זעון
fire-arrow זק
nausea זרא
flash up זרח
squeeze זרר
little זעיר
fetters זקים
press זרב
Zerahite זרחי
Zeresh זרשׁ
extinguish זעך
old זקן
Zerubbabel זרבבל
Zerahiah זרחיה
span זרת
curse זעם
beard זקן
Zered זרד
rain זרם
Zattu זתוא
curse זעם
old age זקן
measure off זרה
flood thunderously? זרם
Zetham זתם
rage זעף
be old זקן
scatter זרה
penis זרמה
Zethar זתר
raging זעף
old age זקנה
arm זרוע
seed זרע
be embittered זעף
old age זקנים
plant זרוע
sow זרע
cry זעק
raise up זקף
<uncertain> זרזיף
herbs זרעים
cry זעקה
filter זקק
<uncertain> זרזיר
herbs זרענים
