sweep טאטא
Tabaliah טבליהו
good טוב
row טור
encampment טירה
Tabeel טבאל
sink טבע
best טוב
flutter טושׂ
dew טל
turban טבולים
Tabbaoth טבעות
perfume טוב
shoot טחה
patch טלא
navel טבור
sealing ring טבעת
Tob טוב
hand-mill טחון
Telaim טלאים
slaughtering טבח
Tabrimmon טברמן
be good טוב
<uncertain> טחות
lamb טלה
butcher טבח
Tabbath טבת
what is good טובה
be besmeared טחח
hurling טלטלה
Tebah טבח
Tebeth טבת
Tobijah טוביה
grind טחן
lamb טלי
slaughter טבח
pure טהר
Tobijah טוביהו
grinding mill טחנה
cover טלל
slaughtered meat טבחה
purity טהר
spin טוה
molar teeth טחנות
Telem טלם
female cook טבחה
be clean טהר
plaster טוח
tumours טחרים
Telem טלם
Tibhath טבחת
purification טהרה
appendage טוטפת
coating טיח
Talmon טלמון
dip טבל
Tob-Adonijah טוב אדניה
cast טול
clay טיט
unclean טמא
be unclean טמא
span טפח
burden טרח
uncleanness טמאה
span טפח
burden טרח
be unclean טמה
bring forth טפח
fresh טרי
hide טמן
spread טפח
prey טריפה
basket טנא
span טפחה
beginning טרם
soil טנף
healthy ones טפחים
prey טרף
wander טעה
soil טפל
fresh plucked טרף
taste טעם
official טפסר
food טרף
taste טעם
trip טפף
tear טרף
pierce טען
be unfeeling טפשׁ
load טען
Taphath טפת
<those unable to march> טף
drive away טרד
